Date first seen,Date last seen,Proto,Src IP Addr,Dst IP Addr,Src Pt,Dst Pt,In Pkt,In Byte
2023-06-28 20:02:33.970,2023-06-28 20:02:52.055,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,8,784
2023-06-28 20:02:33.970,2023-06-28 20:02:52.055,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,8,784
2023-06-28 20:02:53.058,2023-06-28 20:03:02.100,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.046,2023-06-28 20:03:03.046,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,32,1920
2023-06-28 20:02:53.054,2023-06-28 20:03:03.102,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,11,1078
2023-06-28 20:02:53.046,2023-06-28 20:03:13.044,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,30,1800
2023-06-28 20:03:03.102,2023-06-28 20:03:13.136,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,11,1078
2023-06-28 20:02:53.054,2023-06-28 20:03:13.136,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:02:53.045,2023-06-28 20:03:14.043,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,3,180
2023-06-28 20:03:03.101,2023-06-28 20:03:23.180,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.053,2023-06-28 20:03:23.180,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:03:03.102,2023-06-28 20:03:33.196,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.054,2023-06-28 20:03:33.192,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:03:03.102,2023-06-28 20:03:43.271,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.054,2023-06-28 20:03:43.267,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:03:40.189,2023-06-28 20:03:50.189,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,31,1860
2023-06-28 20:03:03.102,2023-06-28 20:03:53.311,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.054,2023-06-28 20:03:53.311,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:03:40.190,2023-06-28 20:03:59.851,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,29,1740
2023-06-28 20:03:03.102,2023-06-28 20:04:02.339,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,9,882
2023-06-28 20:02:53.054,2023-06-28 20:04:02.339,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,9,882
2023-06-28 20:03:40.189,2023-06-28 20:04:09.851,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,30,1800
2023-06-28 20:03:03.101,2023-06-28 20:04:12.379,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.053,2023-06-28 20:04:12.375,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:03:40.190,2023-06-28 20:04:20.187,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,31,1860
2023-06-28 20:03:03.101,2023-06-28 20:04:22.424,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.053,2023-06-28 20:04:22.420,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:03:40.190,2023-06-28 20:04:30.190,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,30,1800
2023-06-28 20:03:03.101,2023-06-28 20:04:32.458,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.053,2023-06-28 20:04:32.454,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:03:40.190,2023-06-28 20:04:39.522,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,28,1680
2023-06-28 20:03:03.101,2023-06-28 20:04:42.477,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.053,2023-06-28 20:04:43.478,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,11,1078
2023-06-28 20:03:03.101,2023-06-28 20:04:53.500,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,11,1078
2023-06-28 20:02:53.053,2023-06-28 20:04:53.500,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:03:03.102,2023-06-28 20:05:03.541,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.054,2023-06-28 20:05:03.541,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:03:03.102,2023-06-28 20:05:13.593,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:53.054,2023-06-28 20:05:13.593,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:05:08.671,2023-06-28 20:05:18.675,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,31,1860
2023-06-28 20:03:03.102,2023-06-28 20:05:23.664,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
